Name,Block Group,Census Tract,County,State,GEOID10,Ward,Total:,Male:,Under 5 years,5 to 9 years,10 to 14 years,15 to 17 years,18 and 19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 and 61 years,62 to 64 years,65 and 66 years,67 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,Female:,Under 5 years,5 to 9 years,10 to 14 years,15 to 17 years,18 and 19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 and 61 years,62 to 64 years,65 and 66 years,67 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
"Block Group 3, Census Tract 15.07, Boone County, Missouri",3,15.07,19,29,290190015073,3,590,286,21,0,0,0,0,0,0,0,37,63,20,0,0,35,0,0,38,30,0,12,0,30,0,304,60,0,0,0,0,0,0,34,12,12,95,0,0,0,33,0,7,11,0,27,13,0,0
"Block Group 1, Census Tract 15.08, Boone County, Missouri",1,15.08,19,29,290190015081,3,1369,655,17,0,0,22,0,0,0,0,104,76,50,53,23,74,15,40,0,107,50,0,0,24,0,714,50,15,26,37,0,0,0,0,16,163,16,55,114,69,0,72,0,24,16,0,41,0,0
"Block Group 2, Census Tract 15.08, Boone County, Missouri",2,15.08,19,29,290190015082,2,635,175,17,0,18,0,0,0,0,0,49,39,31,0,0,21,0,0,0,0,0,0,0,0,0,460,90,58,107,0,0,0,0,0,46,19,17,71,0,0,0,52,0,0,0,0,0,0,0
"Block Group 3, Census Tract 15.08, Boone County, Missouri",3,15.08,19,29,290190015083,2,1546,644,44,16,2,24,2,23,22,77,92,18,45,47,22,53,61,40,0,0,0,56,0,0,0,902,46,96,31,175,10,0,19,34,37,84,13,29,21,116,75,20,43,0,0,53,0,0,0
"Block Group 4, Census Tract 15.08, Boone County, Missouri",4,15.08,19,29,290190015084,2,2405,1022,14,34,184,0,0,0,0,0,116,46,145,107,34,42,137,0,21,81,32,16,0,0,13,1383,44,499,49,20,14,0,0,14,34,160,68,178,59,23,41,18,31,60,18,42,0,0,11
"Block Group 1, Census Tract 16.02, Boone County, Missouri",1,16.02,19,29,290190016021,6,1281,639,9,87,25,22,5,0,9,40,39,28,46,19,63,21,35,0,49,48,19,34,31,10,0,642,33,5,38,9,0,0,41,9,56,37,32,8,65,23,52,13,67,50,27,23,44,10,0
"Block Group 2, Census Tract 16.02, Boone County, Missouri",2,16.02,19,29,290190016022,6,1674,803,44,70,22,0,0,0,0,14,0,12,77,56,43,178,37,60,32,20,41,8,57,32,0,871,101,139,19,15,0,0,0,5,23,8,110,51,20,102,59,35,31,39,50,33,17,14,0
"Block Group 3, Census Tract 16.02, Boone County, Missouri",3,16.02,19,29,290190016023,3,1371,647,58,7,40,27,0,0,0,38,70,94,20,34,63,0,10,0,70,0,59,27,5,25,0,724,47,18,65,14,0,0,9,15,30,83,82,45,27,9,104,8,55,41,6,23,22,6,15
"Block Group 1, Census Tract 16.03, Boone County, Missouri",1,16.03,19,29,290190016031,3,2694,1154,44,253,48,0,0,0,0,0,89,191,63,16,145,12,72,55,59,0,43,44,0,0,20,1540,200,39,103,33,4,268,0,0,132,213,91,78,11,114,42,66,12,39,0,12,27,56,0
"Block Group 2, Census Tract 16.03, Boone County, Missouri",2,16.03,19,29,290190016032,,325,141,0,0,0,0,0,0,0,1,0,0,0,4,37,0,0,1,27,20,11,31,9,0,0,184,0,0,0,17,0,21,0,0,0,0,0,15,0,18,0,2,0,23,14,42,0,31,1
"Block Group 3, Census Tract 16.03, Boone County, Missouri",3,16.03,19,29,290190016033,3,1628,987,25,28,131,0,15,69,0,182,17,26,120,211,0,26,65,14,0,0,0,0,47,0,11,641,25,36,0,22,59,0,0,28,23,45,117,0,26,42,107,29,62,0,0,0,10,0,10
"Block Group 1, Census Tract 16.04, Boone County, Missouri",1,16.04,19,29,290190016041,3,1350,718,0,23,29,21,0,0,39,117,174,0,71,65,49,81,0,0,16,25,0,0,8,0,0,632,47,0,22,0,0,13,72,30,38,11,72,11,140,58,27,35,0,36,0,12,0,8,0
"Block Group 2, Census Tract 16.04, Boone County, Missouri",2,16.04,19,29,290190016042,3,3326,1884,232,143,153,92,26,153,0,16,230,120,192,74,133,31,61,28,26,2,31,94,30,17,0,1442,149,84,52,69,26,86,0,78,197,35,89,101,70,56,55,0,34,50,132,35,44,0,0
"Block Group 1, Census Tract 17.02, Boone County, Missouri",1,17.02,19,29,290190017021,6,2374,1231,161,43,67,56,0,0,0,0,92,97,48,73,121,130,63,22,56,39,71,62,21,9,0,1143,74,80,127,24,0,0,9,16,118,56,39,96,89,74,106,12,32,20,101,33,0,37,0
"Block Group 2, Census Tract 17.02, Boone County, Missouri",2,17.02,19,29,290190017022,,912,403,49,12,19,9,25,15,0,18,119,0,0,19,19,15,28,1,1,0,49,3,1,1,0,509,40,62,3,40,0,14,8,63,51,40,8,18,20,50,3,0,37,0,45,3,2,0,2
"Block Group 3, Census Tract 17.02, Boone County, Missouri",3,17.02,19,29,290190017023,,2714,1405,126,41,64,35,14,0,0,25,87,14,162,49,58,100,210,96,120,30,38,65,36,25,10,1309,30,13,91,20,3,0,0,8,204,164,7,37,87,79,249,86,33,34,29,92,33,0,10
"Block Group 1, Census Tract 17.03, Boone County, Missouri",1,17.03,19,29,290190017031,,1275,521,10,16,52,0,9,0,0,17,101,6,36,89,20,24,0,12,27,0,0,51,17,17,17,754,7,154,66,44,0,0,58,11,52,6,66,57,20,10,65,5,26,15,13,0,63,0,16
"Block Group 2, Census Tract 17.03, Boone County, Missouri",2,17.03,19,29,290190017032,,2377,1172,24,125,117,35,0,4,0,0,50,55,91,139,125,45,55,4,109,62,15,36,14,23,44,1205,64,77,57,70,0,0,0,67,0,72,46,144,134,34,191,0,66,23,52,38,3,64,3
"Block Group 1, Census Tract 17.04, Boone County, Missouri",1,17.04,19,29,290190017041,,1127,572,21,23,83,0,31,0,0,0,82,12,43,15,16,65,23,38,0,0,40,42,29,0,9,555,0,0,74,0,33,0,0,0,40,33,76,14,0,71,71,14,0,0,69,11,29,0,20
"Block Group 2, Census Tract 17.04, Boone County, Missouri",2,17.04,19,29,290190017042,,2938,1382,99,125,127,36,20,15,20,30,31,0,68,187,101,164,87,65,49,45,18,31,2,62,0,1556,40,86,100,113,28,30,0,115,9,16,84,102,159,240,53,35,43,20,108,55,51,0,69
"Block Group 1, Census Tract 18.03, Boone County, Missouri",1,18.03,19,29,290190018031,,1549,786,98,55,75,36,0,0,0,20,101,27,24,55,28,57,38,21,38,0,24,49,16,16,8,763,79,50,27,6,8,0,0,21,110,36,18,63,48,70,25,25,17,51,50,39,6,0,14
"Block Group 2, Census Tract 18.03, Boone County, Missouri",2,18.03,19,29,290190018032,,907,384,0,0,39,7,13,8,0,0,11,19,21,41,22,42,53,0,22,42,11,16,9,8,0,523,0,8,43,53,12,0,20,0,49,20,21,40,42,57,36,25,27,20,9,19,7,7,8
"Block Group 3, Census Tract 18.03, Boone County, Missouri",3,18.03,19,29,290190018033,,1591,770,10,110,81,25,37,1,0,43,84,38,20,16,36,32,21,17,47,51,37,30,34,0,0,821,82,59,8,5,1,0,0,1,98,86,17,34,58,72,53,3,47,53,62,21,22,21,18
"Block Group 1, Census Tract 18.06, Boone County, Missouri",1,18.06,19,29,290190018061,4,1051,418,34,0,16,0,12,18,20,42,0,18,20,19,18,71,31,15,29,14,28,0,13,0,0,633,18,35,0,0,13,49,0,0,84,75,16,65,51,65,15,0,37,10,47,11,12,0,30
"Block Group 2, Census Tract 18.06, Boone County, Missouri",2,18.06,19,29,290190018062,,1071,606,32,51,47,16,0,43,0,0,0,0,24,18,24,80,49,0,15,40,74,49,14,29,1,465,0,17,6,18,0,0,0,0,0,0,34,37,96,35,68,0,57,16,18,48,14,1,0
"Block Group 3, Census Tract 18.06, Boone County, Missouri",3,18.06,19,29,290190018063,5,2791,1556,139,187,161,64,70,41,0,0,41,57,114,141,141,120,81,75,44,0,40,0,40,0,0,1235,47,76,111,9,33,0,70,0,0,137,130,174,26,193,58,41,41,0,41,35,13,0,0
"Block Group 1, Census Tract 18.07, Boone County, Missouri",1,18.07,19,29,290190018071,4,2605,1533,112,243,116,25,154,0,0,47,146,117,71,112,68,90,67,0,117,0,11,0,0,0,37,1072,83,135,174,28,13,0,0,0,13,172,120,63,60,50,65,38,0,0,11,0,12,0,35
"Block Group 2, Census Tract 18.07, Boone County, Missouri",2,18.07,19,29,290190018072,4,2835,1185,83,83,56,27,23,124,0,22,28,92,102,45,156,62,24,67,39,0,109,18,0,25,0,1650,136,111,219,26,31,0,21,56,0,137,143,194,176,136,43,76,20,13,19,14,36,24,19
"Block Group 1, Census Tract 19.01, Boone County, Missouri",1,19.01,19,29,290190019011,,1927,964,127,74,67,42,15,10,14,29,73,26,5,109,54,72,58,23,48,17,61,11,28,0,1,963,18,65,92,75,1,0,5,0,90,60,99,54,64,71,58,35,30,36,45,17,17,10,21
"Block Group 2, Census Tract 19.01, Boone County, Missouri",2,19.01,19,29,290190019012,,907,448,18,25,14,9,8,0,0,0,13,37,34,23,11,26,38,13,80,42,26,25,0,6,0,459,30,20,22,15,0,12,0,0,5,25,3,29,25,11,74,0,60,39,44,35,0,8,2
"Block Group 3, Census Tract 19.01, Boone County, Missouri",3,19.01,19,29,290190019013,,2168,861,24,32,16,55,2,0,0,0,33,93,16,64,172,46,92,45,23,9,64,48,16,11,0,1307,10,58,221,175,0,0,0,95,0,57,230,10,33,40,96,32,32,15,59,33,77,15,19
"Block Group 1, Census Tract 19.03, Boone County, Missouri",1,19.03,19,29,290190019031,,992,495,30,14,14,66,22,0,0,0,70,44,56,88,0,33,24,0,0,12,12,0,0,10,0,497,51,56,0,4,0,0,0,22,106,16,39,45,0,73,12,12,24,12,0,25,0,0,0
"Block Group 2, Census Tract 19.03, Boone County, Missouri",2,19.03,19,29,290190019032,,1991,1158,119,87,76,144,10,72,0,0,49,110,73,64,104,53,51,10,68,0,0,47,11,0,10,833,0,58,0,19,4,0,13,57,93,28,132,60,20,37,129,62,22,14,14,48,10,0,13
"Block Group 3, Census Tract 19.03, Boone County, Missouri",3,19.03,19,29,290190019033,,2292,1154,16,152,124,81,0,25,12,0,61,83,0,64,94,123,51,55,65,40,23,11,63,11,0,1138,181,71,78,62,5,42,0,0,104,83,50,52,134,44,38,29,35,24,38,58,0,10,0
"Block Group 1, Census Tract 19.04, Boone County, Missouri",1,19.04,19,29,290190019041,,1128,531,61,28,49,20,7,7,17,38,62,27,20,25,12,29,24,11,22,10,32,9,7,11,3,597,32,20,26,13,2,0,0,97,67,25,26,10,46,51,29,13,10,16,18,42,14,17,23
"Block Group 2, Census Tract 19.04, Boone County, Missouri",2,19.04,19,29,290190019042,,1924,873,79,98,77,48,22,15,0,45,67,87,57,48,50,24,38,24,11,8,4,31,24,16,0,1051,69,94,114,32,16,6,4,56,67,62,70,90,98,55,40,14,34,5,14,46,31,17,17
"Block Group 3, Census Tract 19.04, Boone County, Missouri",3,19.04,19,29,290190019043,,1186,551,35,69,0,58,0,18,0,58,0,0,30,41,41,46,68,0,28,0,34,0,25,0,0,635,53,77,0,0,17,0,0,91,18,0,31,23,53,60,24,63,15,35,17,31,27,0,0
"Block Group 1, Census Tract 20, Boone County, Missouri",1,2000,19,29,290190020001,,857,366,12,49,0,11,0,0,0,13,32,0,48,0,11,0,0,18,44,0,0,26,44,39,19,491,34,12,12,12,29,13,58,0,61,23,0,12,0,14,23,34,0,0,0,30,41,32,51
"Block Group 2, Census Tract 20, Boone County, Missouri",2,2000,19,29,290190020002,,1210,475,12,43,43,40,0,19,0,19,51,71,0,0,12,98,33,0,0,34,0,0,0,0,0,735,12,0,100,10,29,0,0,0,111,13,67,51,76,106,55,0,38,12,0,0,44,0,11
"Block Group 3, Census Tract 20, Boone County, Missouri",3,2000,19,29,290190020003,,1463,825,106,105,46,37,0,0,0,0,74,208,0,0,0,0,39,19,38,13,32,94,0,0,14,638,93,0,0,0,0,0,0,0,46,110,18,11,11,79,52,31,12,18,140,11,6,0,0
"Block Group 4, Census Tract 20, Boone County, Missouri",4,2000,19,29,290190020004,,1657,833,0,45,58,43,29,0,0,33,0,174,28,89,35,43,54,0,21,0,23,88,52,18,0,824,39,81,67,90,8,0,0,0,13,42,39,65,34,58,48,12,46,13,20,102,24,0,23
"Block Group 1, Census Tract 21, Boone County, Missouri",1,2100,19,29,290190021001,,659,263,14,26,0,32,0,8,0,8,49,23,20,34,18,19,2,10,0,0,0,0,0,0,0,396,23,44,0,0,0,0,0,22,61,34,47,44,0,50,13,11,40,0,7,0,0,0,0
"Block Group 2, Census Tract 21, Boone County, Missouri",2,2100,19,29,290190021002,,1872,1003,110,77,42,38,88,5,10,53,44,82,52,74,43,21,159,11,28,0,0,44,11,0,11,869,140,62,52,4,111,36,24,24,78,12,22,110,41,36,12,35,20,7,11,6,0,14,12
"Block Group 3, Census Tract 21, Boone County, Missouri",3,2100,19,29,290190021003,,1089,404,0,0,11,0,0,0,33,218,49,7,24,23,6,0,7,0,9,0,0,17,0,0,0,685,0,0,9,24,34,47,152,127,10,8,19,34,0,32,102,52,0,6,0,0,29,0,0
"Block Group 1, Census Tract 22, Boone County, Missouri",1,2200,19,29,290190022001,,1797,743,0,0,0,7,560,105,57,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1054,0,0,0,26,669,241,79,17,0,0,0,0,17,0,0,0,0,5,0,0,0,0,0
"Block Group 2, Census Tract 22, Boone County, Missouri",2,2200,19,29,290190022002,,1461,481,0,0,0,0,241,81,47,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,980,0,0,0,0,553,251,132,23,0,8,0,0,4,0,0,0,0,9,0,0,0,0,0
"Block Group 3, Census Tract 22, Boone County, Missouri",3,2200,19,29,290190022003,,1409,564,0,0,0,0,404,34,28,23,25,0,11,2,0,0,8,0,0,3,2,6,3,5,10,845,0,0,0,6,597,170,48,5,13,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"Block Group 4, Census Tract 22, Boone County, Missouri",4,2200,19,29,290190022004,,1982,951,26,28,23,0,335,105,36,175,81,29,25,49,3,8,19,0,9,0,0,0,0,0,0,1031,12,0,20,6,408,107,70,191,118,36,20,21,0,11,0,9,0,0,0,0,0,0,2
