Name,Block Group,Census Tract,County,State,GEOID10,Ward,Total:,Male:,Under 5 years,5 to 9 years,10 to 14 years,15 to 17 years,18 and 19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 and 61 years,62 to 64 years,65 and 66 years,67 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,Female:,Under 5 years,5 to 9 years,10 to 14 years,15 to 17 years,18 and 19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 and 61 years,62 to 64 years,65 and 66 years,67 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
"Block Group 4, Census Tract 10.01, Boone County, Missouri",4,10.01,19,29,290190000000,6,788,442,83,0,0,53,0,0,24,0,14,77,40,59,14,0,22,0,23,0,13,0,10,10,0,346,0,22,0,20,0,0,0,139,13,28,10,16,26,24,0,25,0,14,0,0,9,0,0
"Block Group 5, Census Tract 10.01, Boone County, Missouri",5,10.01,19,29,290190010015,6,1296,528,0,20,20,33,8,0,82,132,18,12,0,0,69,13,9,0,9,0,8,10,19,9,57,768,0,0,33,0,28,28,265,68,33,11,0,18,34,13,0,0,10,0,10,57,0,69,91
"Block Group 1, Census Tract 10.03, Boone County, Missouri",1,10.03,19,29,290190010031,3,1506,671,63,9,13,0,0,0,0,17,192,101,47,93,39,19,25,0,0,0,31,22,0,0,0,835,99,83,103,0,0,0,0,17,96,144,49,70,0,46,39,15,20,0,26,12,0,16,0
"Block Group 2, Census Tract 10.03, Boone County, Missouri",2,10.03,19,29,290190010032,3,2076,1010,37,84,15,29,16,21,25,37,344,28,132,0,24,39,27,58,0,15,0,38,27,14,0,1066,0,67,86,0,10,46,67,77,147,64,97,18,19,78,69,49,56,0,16,57,43,0,0
"Block Group 1, Census Tract 10.04, Boone County, Missouri",1,10.04,19,29,290190010041,6,1124,577,77,117,114,0,0,0,0,0,12,64,0,13,78,64,10,0,0,0,0,0,0,28,0,547,47,82,125,58,0,0,0,0,82,21,14,0,0,16,50,0,0,0,42,10,0,0,0
"Block Group 2, Census Tract 10.04, Boone County, Missouri",2,10.04,19,29,290190010042,6,847,322,0,0,0,12,0,0,0,0,0,13,0,0,0,1,3,14,0,0,3,0,28,44,204,525,0,15,0,0,0,0,0,0,0,0,0,0,0,38,53,0,3,0,15,8,28,200,165
"Block Group 3, Census Tract 10.04, Boone County, Missouri",3,10.04,19,29,290190010043,6,1549,712,16,13,91,0,0,35,17,0,135,88,123,35,9,0,51,36,0,40,0,23,0,0,0,837,100,105,24,0,1,82,0,84,55,54,79,0,51,39,37,23,32,41,0,30,0,0,0
"Block Group 1, Census Tract 11.05, Boone County, Missouri",1,11.05,19,29,290190011051,6,1159,287,0,0,0,0,0,0,0,0,68,13,40,0,0,51,53,0,21,20,0,0,0,0,21,872,0,0,0,0,72,267,55,201,168,0,0,23,0,9,0,0,0,0,24,13,0,20,20
"Block Group 2, Census Tract 11.05, Boone County, Missouri",2,11.05,19,29,290190011052,4,800,486,0,0,0,0,0,84,281,60,15,23,23,0,0,0,0,0,0,0,0,0,0,0,0,314,0,0,0,0,8,40,0,155,28,0,0,0,83,0,0,0,0,0,0,0,0,0,0
"Block Group 3, Census Tract 11.05, Boone County, Missouri",3,11.05,19,29,290190011053,6,702,354,53,0,22,0,0,0,0,0,194,0,13,22,0,35,0,0,15,0,0,0,0,0,0,348,20,0,0,0,0,0,0,87,130,0,59,0,0,0,21,0,13,0,0,0,0,18,0
